683|aplicaciones|Einsatzbereiche|applicazioni
684|sectores|Branchen|settori
685|Volver a|Zurück zu|Torna a
686|¿Estás planificando para esta necesidad?|Planen Sie für diesen Bedarf?|Stai pianificando per questa esigenza?
687|Utiliza Smart Merch para combinar tipo de producto, cantidad, presupuesto y plazo, o explora las sugerencias de esta página.|Kombinieren Sie mit Smart Merch Produkttyp, Menge, Budget und Termin oder entdecken Sie die Vorschläge auf dieser Seite.|Usa Smart Merch per combinare tipo di prodotto, quantità, budget e scadenza oppure esplora i suggerimenti di questa pagina.
688|Por presupuesto y cantidad|Nach Budget und Menge|Per budget e quantità
689|Sugerencias para empezar|Vorschläge zum Einstieg|Suggerimenti per iniziare
690|Esta selección utiliza el catálogo activo y términos relacionados con esta necesidad. Confirma siempre stock, cantidades y personalización en la página del producto.|Diese Auswahl nutzt den aktiven Katalog und Begriffe zu diesem Bedarf. Prüfen Sie Bestand, Mengen und Personalisierung stets auf der Produktseite.|Questa selezione usa il catalogo attivo e termini collegati a questa esigenza. Verifica sempre disponibilità, quantità e personalizzazione nella pagina del prodotto.
691|Explorar el catálogo completo|Gesamten Katalog durchsuchen|Esplora il catalogo completo
692|No hay sugerencias específicas disponibles en este momento. Continúa con la búsqueda o Smart Merch.|Derzeit sind keine spezifischen Vorschläge verfügbar. Nutzen Sie die Suche oder Smart Merch.|Al momento non sono disponibili suggerimenti specifici. Continua con la ricerca o Smart Merch.
693|Explorar más|Mehr entdecken|Esplora altro
694|Ver página|Seite ansehen|Vedi pagina
695|No hay imagen disponible|Kein Bild verfügbar|Nessuna immagine disponibile
696|coincidencia|Übereinstimmung|corrispondenza
697|Personalizable|Personalisierbar|Personalizzabile
698|Total de productos|Produktgesamtbetrag|Totale prodotti
699|Por calcular|Wird berechnet|Da calcolare
700|unidades disponibles|Stück verfügbar|unità disponibili
701|Entrega estimada|Voraussichtliche Lieferung|Consegna stimata
702|Incluye la personalización más rápida disponible|Enthält die schnellste verfügbare Personalisierung|Include la personalizzazione più rapida disponibile
703|Producto sin personalización|Produkt ohne Personalisierung|Prodotto senza personalizzazione
704|Solo estimación, sujeta a la aprobación de la maqueta, la personalización seleccionada y el plazo de envío.|Nur eine Schätzung, abhängig von Druckfreigabe, gewählter Personalisierung und Versanddauer.|Solo una stima, soggetta all'approvazione della bozza, alla personalizzazione selezionata e ai tempi di spedizione.
705|Por qué lo recomendamos|Warum wir es empfehlen|Perché lo consigliamo
706|Ver producto|Produkt ansehen|Vedi prodotto
707|Envío del pedido|Bestellversand|Spedizione dell'ordine
708|Impuesto sobre el valor añadido|Mehrwertsteuer|Imposta sul valore aggiunto
709|Ver pedido|Bestellung ansehen|Vedi ordine
710|Todos los pedidos|Alle Bestellungen|Tutti gli ordini
711|Seguimiento del pedido|Bestellverlauf|Avanzamento dell'ordine
712|Pagos|Zahlungen|Pagamenti
713|Artículos y personalización|Artikel und Personalisierung|Articoli e personalizzazione
714|Factura|Rechnung|Fattura
715|Detalles del pedido|Bestelldetails|Dettagli dell'ordine
716|Personalización|Personalisierung|Personalizzazione
717|Descuento|Rabatt|Sconto
718|Pedido recibido|Bestellung eingegangen|Ordine ricevuto
719|Seguir envío|Sendung verfolgen|Traccia spedizione
720|Información de envío disponible|Versandinformationen verfügbar|Informazioni di spedizione disponibili
721|Tu factura todavía no está disponible. Aparecerá aquí cuando se emita.|Ihre Rechnung ist noch nicht verfügbar. Sie erscheint hier, sobald sie ausgestellt wurde.|La fattura non è ancora disponibile. Comparirà qui una volta emessa.
722|Abrir factura|Rechnung öffnen|Apri fattura
723|Archivo de personalización|Druckdatei|File di personalizzazione
724|Ver simulación / maqueta|Simulation / Vorschau ansehen|Vedi simulazione / bozza
725|La simulación por sí sola no constituye una aprobación para la producción.|Die Simulation allein stellt keine Produktionsfreigabe dar.|La sola simulazione non costituisce approvazione per la produzione.
726|Esperando los documentos de personalización.|Personalisierungsunterlagen werden erwartet.|In attesa dei documenti di personalizzazione.
727|Diseño aprobado|Druckvorlage freigegeben|Grafica approvata
728|Diseño pendiente de aprobación|Druckvorlage wartet auf Freigabe|Grafica in attesa di approvazione
729|Importe reembolsado|Erstatteter Betrag|Importo rimborsato
730|Todavía no hay operaciones de pago registradas.|Noch keine Zahlungsvorgänge erfasst.|Nessuna transazione di pagamento ancora registrata.
731|Tus observaciones|Ihre Hinweise|Le tue note
732|Fecha de envío solicitada|Gewünschter Versandtermin|Data di spedizione richiesta
733|Todavía no disponible|Noch nicht verfügbar|Non ancora disponibile
734|Para consultas o cambios, contacta con info@360-merchandising.com e indica el número de pedido anterior.|Bei Fragen oder Änderungen kontaktieren Sie info@360-merchandising.com unter Angabe der obigen Bestellnummer.|Per domande o modifiche, contatta info@360-merchandising.com indicando il numero d'ordine riportato sopra.
735|Pendiente de pago|Zahlung ausstehend|In attesa di pagamento
736|Reembolso parcial|Teilweise erstattet|Rimborsato parzialmente
737|Aprobado|Freigegeben|Approvato
738|Necesita revisión|Überarbeitung erforderlich|Revisione necessaria
739|En preparación|Wird vorbereitet|In preparazione
740|En proceso|In Bearbeitung|In elaborazione
741|Confirmado|Bestätigt|Confermato
742|En producción|In Produktion|In produzione
743|Enviado|Versendet|Spedito
744|Entregado|Zugestellt|Consegnato
745|Reembolsado|Erstattet|Rimborsato
746|Requiere atención|Klärung erforderlich|Richiede attenzione
747|Preparación parcial|Teilweise vorbereitet|Preparato parzialmente
748|Preparado|Vorbereitet|Preparato
749|Pendiente de archivos de personalización|Personalisierungsdateien ausstehend|In attesa dei file di personalizzazione
750|Pendiente de disponibilidad|Verfügbarkeit ausstehend|In attesa di disponibilità
751|Prueba pendiente de aprobación|Korrekturabzug wartet auf Freigabe|Prova in attesa di approvazione
752|Facturado|Rechnung gestellt|Fatturato
753|En actualización|Wird aktualisiert|In aggiornamento
754|Iniciar sesión|Anmelden|Accedi
755|Accede a tu Área de Cliente o al panel de administración.|Melden Sie sich in Ihrem Kundenbereich oder im Verwaltungsbereich an.|Accedi alla tua Area Cliente o al pannello di amministrazione.
756|Cuenta creada correctamente. Hemos enviado un correo de confirmación a la dirección indicada. Confirma tu cuenta desde ese correo antes de iniciar sesión.|Konto erfolgreich erstellt. Wir haben eine Bestätigungs-E-Mail an die angegebene Adresse gesendet. Bestätigen Sie Ihr Konto darüber, bevor Sie sich anmelden.|Account creato correttamente. Abbiamo inviato un'e-mail di conferma all'indirizzo indicato. Conferma il tuo account da quell'e-mail prima di accedere.
757|Contraseña|Passwort|Password
758|Iniciando sesión...|Anmeldung läuft...|Accesso in corso...
759|¿Has olvidado tu contraseña?|Passwort vergessen?|Hai dimenticato la password?
760|¿Todavía no tienes cuenta?|Sie haben noch kein Konto?|Non hai ancora un account?
761|Crear cuenta|Konto erstellen|Crea account
762|Crea una cuenta para guardar tus datos y seguir pedidos, solicitudes y maquetas.|Erstellen Sie ein Konto, um Ihre Angaben zu speichern und Bestellungen, Anfragen und Korrekturabzüge zu verfolgen.|Crea un account per salvare i tuoi dati e seguire ordini, richieste e bozze grafiche.
763|Dirección de correo electrónico|E-Mail-Adresse|Indirizzo e-mail
764|Al menos 8 caracteres, con una letra y un número.|Mindestens 8 Zeichen, darunter ein Buchstabe und eine Ziffer.|Almeno 8 caratteri, inclusi una lettera e un numero.
765|Al menos 8 caracteres, con letras y números|Mindestens 8 Zeichen mit Buchstaben und Ziffern|Almeno 8 caratteri, con lettere e numeri
766|Confirmar contraseña|Passwort bestätigen|Conferma password
767|Repetir contraseña|Passwort wiederholen|Ripeti password
768|Creando cuenta...|Konto wird erstellt...|Creazione dell'account...
769|¿Ya tienes cuenta?|Sie haben bereits ein Konto?|Hai già un account?
770|Restablecer contraseña|Passwort zurücksetzen|Reimposta password
771|Recibe un enlace seguro por correo para definir una nueva contraseña.|Erhalten Sie per E-Mail einen sicheren Link, um ein neues Passwort festzulegen.|Ricevi un link sicuro via e-mail per impostare una nuova password.
772|Enviando...|Wird gesendet...|Invio in corso...
773|Enviar enlace de recuperación|Link zum Zurücksetzen senden|Invia link di reimpostazione
774|Volver al inicio de sesión|Zurück zur Anmeldung|Torna all'accesso
775|Nueva contraseña|Neues Passwort|Nuova password
776|Actualizando...|Wird aktualisiert...|Aggiornamento...
777|Actualizar contraseña|Passwort aktualisieren|Aggiorna password
778|Volver al panel|Zurück zur Übersicht|Torna al pannello
779|Área de Cliente|Kundenbereich|Area Cliente
780|Hola|Hallo|Ciao
781|te damos la bienvenida|willkommen|benvenuto
782|Sigue tus pedidos, solicitudes de presupuesto, carrito y datos comerciales de tu cuenta 360 Merchandising.|Verfolgen Sie Bestellungen, Angebotsanfragen, Warenkorb und Geschäftsdaten in Ihrem Konto bei 360 Merchandising.|Segui ordini, richieste di preventivo, carrello e dati aziendali del tuo account 360 Merchandising.
783|Cliente|Kunde|Cliente
784|Cerrar sesión|Abmelden|Esci
785|Cuenta|Konto|Account
786|Datos personales|Persönliche Angaben|Dati personali
787|Gestionar datos|Angaben verwalten|Gestisci dati
788|Pedidos|Bestellungen|Ordini
789|Solicitudes personalizadas|Individuelle Anfragen|Richieste personalizzate
790|Ver solicitudes|Anfragen ansehen|Vedi richieste
791|Carrito|Warenkorb|Carrello
792|Activo|Aktiv|Attivo
793|Abrir carrito|Warenkorb öffnen|Apri carrello
794|Pedidos recientes|Letzte Bestellungen|Ordini recenti
795|Compras directas, pagos y estado de tramitación.|Direktkäufe, Zahlungen und Bearbeitungsstatus.|Acquisti diretti, pagamenti e stato di elaborazione.
796|Todavía no hay pedidos. Cuando compres online, podrás consultar aquí el estado del pedido.|Es liegen noch keine Bestellungen vor. Nach einem Onlinekauf können Sie hier den Bestellstatus verfolgen.|Non ci sono ancora ordini. Quando acquisti online, puoi seguirne lo stato qui.
797|Presupuestos para solicitudes especiales o personalizaciones complejas.|Angebote für besondere Anfragen oder komplexe Personalisierungen.|Preventivi per richieste speciali o personalizzazioni complesse.
798|Todavía no hay solicitudes personalizadas asociadas a tu cuenta.|Mit Ihrem Konto sind noch keine individuellen Anfragen verknüpft.|Non ci sono ancora richieste personalizzate associate al tuo account.
799|Solicitud de presupuesto|Angebotsanfrage|Richiesta di preventivo
800|Mis pedidos|Meine Bestellungen|I miei ordini
801|Consulta los pedidos realizados en 360 Merchandising.|Sehen Sie Ihre Bestellungen bei 360 Merchandising ein.|Consulta gli ordini effettuati su 360 Merchandising.
802|Estado|Status|Stato
803|Datos de la cuenta|Kontodaten|Dati dell'account
804|Gestiona los contactos, datos de facturación y direcciones utilizados en los pedidos. Puedes guardar varias direcciones de entrega y elegir la preferida.|Verwalten Sie Kontakte, Rechnungsangaben und Bestelladressen. Sie können mehrere Lieferadressen speichern und eine bevorzugte auswählen.|Gestisci contatti, dati di fatturazione e indirizzi usati per gli ordini. Puoi salvare più indirizzi di consegna e scegliere quello preferito.
805|Consulta las solicitudes de presupuesto o personalización enviadas a través de 360 Merchandising.|Sehen Sie die über 360 Merchandising gesendeten Angebots- oder Personalisierungsanfragen ein.|Consulta le richieste di preventivo o personalizzazione inviate tramite 360 Merchandising.
806|Solicitud personalizada|Individuelle Anfrage|Richiesta personalizzata
807|Completa todos los campos obligatorios.|Füllen Sie alle Pflichtfelder aus.|Completa tutti i campi obbligatori.
808|Introduce tu correo y contraseña.|Geben Sie Ihre E-Mail-Adresse und Ihr Passwort ein.|Inserisci e-mail e password.
809|Datos de acceso incorrectos.|Ungültige Anmeldedaten.|Credenziali di accesso non valide.
810|Esta cuenta está inactiva. Contacta con atención al cliente.|Dieses Konto ist inaktiv. Wenden Sie sich an den Kundenservice.|Questo account è inattivo. Contatta l'assistenza clienti.
811|Error inesperado al iniciar sesión.|Unerwarteter Fehler bei der Anmeldung.|Errore imprevisto durante l'accesso.
812|La contraseña debe tener al menos 8 caracteres e incluir una letra y un número.|Das Passwort muss mindestens 8 Zeichen enthalten, darunter einen Buchstaben und eine Ziffer.|La password deve contenere almeno 8 caratteri, inclusi una lettera e un numero.
813|Las contraseñas no coinciden.|Die Passwörter stimmen nicht überein.|Le password non coincidono.
814|No se ha podido crear la cuenta. Inténtalo de nuevo.|Das Konto konnte nicht erstellt werden. Bitte versuchen Sie es erneut.|Impossibile creare l'account. Riprova.
815|Error inesperado al crear la cuenta.|Unerwarteter Fehler bei der Kontoerstellung.|Errore imprevisto durante la creazione dell'account.
816|Introduce tu dirección de correo electrónico.|Geben Sie Ihre E-Mail-Adresse ein.|Inserisci il tuo indirizzo e-mail.
817|Si existe una cuenta con este correo, recibirás un enlace para definir una nueva contraseña.|Falls ein Konto mit dieser E-Mail-Adresse existiert, erhalten Sie einen Link zum Festlegen eines neuen Passworts.|Se esiste un account con questa e-mail, riceverai un link per impostare una nuova password.
818|El enlace ha caducado. Solicita una nueva recuperación de contraseña.|Der Link ist abgelaufen. Fordern Sie einen neuen Link zum Zurücksetzen an.|Il link è scaduto. Richiedi una nuova reimpostazione della password.
819|No se ha podido actualizar la contraseña.|Das Passwort konnte nicht aktualisiert werden.|Impossibile aggiornare la password.
820|Contraseña actualizada correctamente. Puedes continuar.|Passwort erfolgreich aktualisiert. Sie können fortfahren.|Password aggiornata correttamente. Puoi continuare.
821|Productos promocionales personalizados para empresas|Personalisierte Werbeartikel für Unternehmen|Prodotti promozionali personalizzati per aziende
822|Productos promocionales con tu logotipo|Werbeartikel mit Ihrem Logo|Prodotti promozionali con il tuo logo
823|Productos promocionales ecológicos|Umweltfreundliche Werbeartikel|Prodotti promozionali ecologici
824|Regalos tecnológicos personalizados|Personalisierte Technikgeschenke|Regali tecnologici personalizzati
825|Regalos corporativos prémium|Premium-Firmengeschenke|Regali aziendali premium
826|Regalos corporativos personalizados|Personalisierte Firmengeschenke|Regali aziendali personalizzati
827|Regalos personalizados de hasta 5 € por unidad|Personalisierte Geschenke bis 5 € pro Stück|Regali personalizzati fino a 5 € per unità
828|Regalos personalizados de hasta 10 € por unidad|Personalisierte Geschenke bis 10 € pro Stück|Regali personalizzati fino a 10 € per unità
829|Regalos personalizados de hasta 20 € por unidad|Personalisierte Geschenke bis 20 € pro Stück|Regali personalizzati fino a 20 € per unità
830|Regalos personalizados para pedidos de 50 unidades|Personalisierte Geschenke für Bestellungen ab 50 Stück|Regali personalizzati per ordini di 50 unità
831|Regalos personalizados para pedidos de 100 unidades|Personalisierte Geschenke für Bestellungen ab 100 Stück|Regali personalizzati per ordini di 100 unità
832|Regalos personalizados para pedidos de 250 unidades|Personalisierte Geschenke für Bestellungen ab 250 Stück|Regali personalizzati per ordini di 250 unità
833|Regalos personalizados para pedidos de 500 unidades|Personalisierte Geschenke für Bestellungen ab 500 Stück|Regali personalizzati per ordini di 500 unità
834|Regalos personalizados para pedidos de 1.000 unidades|Personalisierte Geschenke für Bestellungen ab 1.000 Stück|Regali personalizzati per ordini di 1.000 unità
835|Regalos personalizados para clientes y fidelización|Personalisierte Geschenke für Kunden und Kundenbindung|Regali personalizzati per clienti e fidelizzazione
836|Regalos personalizados para ferias|Personalisierte Geschenke für Messen|Regali personalizzati per fiere
837|Regalos personalizados para actividades de equipo|Personalisierte Geschenke für Teambuilding|Regali personalizzati per team building
838|Merchandising personalizado para lanzamientos de productos|Personalisiertes Merchandising für Produkteinführungen|Merchandising personalizzato per lanci di prodotti
839|Explora {0} con datos actuales del catálogo y criterios de cantidad, presupuesto y personalización.|Entdecken Sie {0} anhand aktueller Katalogdaten sowie Kriterien für Menge, Budget und Personalisierung.|Esplora {0} usando dati aggiornati del catalogo e criteri di quantità, budget e personalizzazione.
840|Utiliza esta selección para acotar el catálogo activo según tu objetivo empresarial. Compara el destinatario, el uso real, la cantidad, el presupuesto y la fecha de entrega antes de elegir.|Grenzen Sie mit dieser Auswahl den aktiven Katalog nach Ihrem Geschäftsziel ein. Vergleichen Sie Empfänger, tatsächliche Nutzung, Menge, Budget und Liefertermin vor der Produktauswahl.|Usa questa selezione per restringere il catalogo attivo in base al tuo obiettivo aziendale. Confronta destinatario, uso reale, quantità, budget e data di consegna prima di scegliere.
841|Empieza por el objetivo|Mit dem Ziel beginnen|Inizia dall'obiettivo
842|Define el público, el contexto y el resultado deseado antes de comparar productos.|Legen Sie Zielgruppe, Kontext und gewünschtes Ergebnis fest, bevor Sie einzelne Produkte vergleichen.|Definisci pubblico, contesto e risultato desiderato prima di confrontare i singoli prodotti.
843|Compara la configuración completa|Gesamte Konfiguration vergleichen|Confronta la configurazione completa
844|Revisa cantidades mínimas, stock, escalones de precio, materiales, variantes y personalización disponible para cada referencia.|Prüfen Sie Mindestmengen, Bestand, Preisstaffeln, Materialien, Varianten und verfügbare Personalisierung je Referenz.|Verifica quantità minime, disponibilità, fasce di prezzo, materiali, varianti e personalizzazione disponibile per ogni riferimento.
845|Confirma antes de comprar|Vor der Bestellung bestätigen|Conferma prima di ordinare
846|Valida el diseño, el área de impresión, la técnica, el precio final y el plazo de la combinación elegida.|Prüfen Sie Druckvorlage, Druckfläche, Technik, Endpreis und Lieferzeit für die ausgewählte Kombination.|Verifica grafica, area di stampa, tecnica, prezzo finale e tempi della combinazione selezionata.
847|Productos del catálogo activo|Produkte aus dem aktiven Katalog|Prodotti del catalogo attivo
848|Criterios claros de cantidad y presupuesto|Klare Mengen- und Budgetkriterien|Criteri chiari di quantità e budget
849|Opciones de personalización compatibles|Kompatible Personalisierungsoptionen|Opzioni di personalizzazione compatibili
850|Validación final antes de producir|Abschließende Prüfung vor der Produktion|Verifica finale prima della produzione
851|Los productos mostrados son una selección inicial del catálogo. Confirma stock, cantidad mínima, precio y personalización final en la página del producto.|Die gezeigten Produkte sind eine erste Katalogauswahl. Prüfen Sie Bestand, Mindestmenge, Preis und endgültige Personalisierung auf der Produktseite.|I prodotti mostrati sono una selezione iniziale del catalogo. Verifica disponibilità, quantità minima, prezzo e personalizzazione finale nella pagina del prodotto.
852|Cómo elegir productos promocionales personalizados para empresas|So wählen Sie personalisierte Werbeartikel für Unternehmen|Come scegliere prodotti promozionali personalizzati per aziende
853|Merchandising corporativo: cómo convertir productos en experiencias de marca|Unternehmensmerchandising: Produkte in Markenerlebnisse verwandeln|Merchandising aziendale: trasformare i prodotti in esperienze di marca
854|Kits de bienvenida para empleados: qué incluir y cómo planificar|Willkommenspakete für Mitarbeitende: Inhalt und Planung|Kit di benvenuto per dipendenti: cosa includere e come pianificare
855|Productos promocionales ecológicos: cómo compararlos|Umweltfreundliche Werbeartikel: So vergleichen Sie sie|Prodotti promozionali ecologici: come confrontarli
856|Productos promocionales para eventos: cómo elegir, cuantificar y planificar|Werbeartikel für Veranstaltungen: Auswahl, Mengen und Planung|Prodotti promozionali per eventi: come scegliere, quantificare e pianificare
857|Cómo planificar merchandising según presupuesto y cantidad|Merchandising nach Budget und Menge planen|Come pianificare il merchandising per budget e quantità
858|Guía práctica sobre {0}, con objetivos, público, cantidad, presupuesto, plazos y personalización.|Ein praktischer Ratgeber zu {0} mit Zielen, Zielgruppe, Menge, Budget, Terminen und Personalisierung.|Guida pratica su {0}, con obiettivi, pubblico, quantità, budget, tempi e personalizzazione.
859|Guía práctica · 360 Merchandising|Praktischer Ratgeber · 360 Merchandising|Guida pratica · 360 Merchandising
860|Una selección útil empieza por la necesidad, no por el producto. Define el objetivo, destinatario, contexto, presupuesto, cantidad y plazo antes de comparar referencias y personalizaciones.|Eine sinnvolle Auswahl beginnt mit dem Bedarf, nicht mit dem Produkt. Definieren Sie Ziel, Empfänger, Kontext, Budget, Menge und Termin, bevor Sie Referenzen und Personalisierung vergleichen.|Una selezione utile inizia dall'esigenza, non dal prodotto. Definisci obiettivo, destinatario, contesto, budget, quantità e scadenza prima di confrontare riferimenti e personalizzazioni.
861|Define primero el objetivo y el público|Zuerst Ziel und Zielgruppe festlegen|Definisci prima obiettivo e pubblico
862|Compara juntos los costes de producto y personalización|Produkt- und Personalisierungskosten gemeinsam vergleichen|Confronta insieme i costi di prodotto e personalizzazione
863|Confirma stock y plazo|Bestand und Lieferzeit bestätigen|Conferma disponibilità e tempi
864|Prioriza la utilidad y la coherencia de marca|Nutzen und Markenkonsistenz priorisieren|Dai priorità all'utilità e alla coerenza del marchio
865|1. Define el objetivo|1. Ziel festlegen|1. Definisci l'obiettivo
866|Aclara qué comportamiento o experiencia debe apoyar el merchandising y en qué contexto se entregará.|Klären Sie, welches Verhalten oder Erlebnis das Merchandising unterstützen soll und in welchem Kontext es übergeben wird.|Chiarisci il comportamento o l'esperienza che il merchandising deve favorire e il contesto in cui verrà ricevuto.
867|2. Fija presupuesto, cantidad y plazo|2. Budget, Menge und Termin festlegen|2. Definisci budget, quantità e tempi
868|Compara el coste por persona y la inversión total, reservando tiempo para selección, aprobación del diseño, producción y envío.|Vergleichen Sie Kosten pro Person und Gesamtinvestition. Planen Sie Zeit für Auswahl, Druckfreigabe, Produktion und Versand ein.|Confronta costo per persona e investimento totale, prevedendo tempo per scelta, approvazione della grafica, produzione e spedizione.
869|3. Adapta el producto al destinatario|3. Produkt auf den Empfänger abstimmen|3. Abbina il prodotto al destinatario
870|La utilidad, el contexto y la calidad percibida ayudan a reducir desperdicios y aumentan la probabilidad de uso del producto.|Nutzen, Kontext und wahrgenommene Qualität helfen, Verschwendung zu verringern und die Nutzung des Produkts wahrscheinlicher zu machen.|Utilità, contesto e qualità percepita aiutano a ridurre gli sprechi e aumentano la probabilità che il prodotto venga usato.
871|4. Valida la personalización|4. Personalisierung prüfen|4. Verifica la personalizzazione
872|Confirma el componente, ubicación, área de impresión, técnica y número de colores compatibles antes de comprar.|Bestätigen Sie vor der Bestellung kompatible Komponente, Position, Druckfläche, Technik und Farbanzahl.|Conferma componente, posizione, area di stampa, tecnica e numero di colori compatibili prima di ordinare.
873|¿Hay un producto ideal para todas las empresas?|Gibt es ein bestes Produkt für jedes Unternehmen?|Esiste un prodotto ideale per ogni azienda?
874|No. El producto adecuado depende del objetivo, destinatario, presupuesto, cantidad, plazo y contexto.|Nein. Das passende Produkt hängt von Ziel, Empfänger, Budget, Menge, Termin und Kontext ab.|No. Il prodotto giusto dipende da obiettivo, destinatario, budget, quantità, scadenza e contesto.
875|¿Debo definir primero el presupuesto?|Sollte ich zuerst das Budget festlegen?|Devo definire prima il budget?
876|Sí. Un rango objetivo por unidad y la cantidad prevista hacen más eficiente la comparación.|Ja. Eine Zielspanne pro Stück und die geplante Menge erleichtern den Produktvergleich.|Sì. Una fascia obiettivo per unità e la quantità prevista rendono il confronto più efficiente.
877|¿Cuándo debe confirmarse el stock?|Wann sollte der Bestand bestätigt werden?|Quando va confermata la disponibilità?
878|Antes de finalizar la personalización y con antelación suficiente para producir y enviar.|Vor Abschluss der Personalisierung und rechtzeitig für Produktion und Versand.|Prima di finalizzare la personalizzazione e con sufficiente anticipo per produzione e spedizione.
879|sobre|sobre|sobre
880|Sobre 360 Merchandising|Über 360 Merchandising|Chi è 360 Merchandising
881|Una forma mejor informada de encontrar y comprar merchandising|Merchandising fundiert finden und kaufen|Un modo più consapevole di trovare e acquistare merchandising
882|Descubre 360 Merchandising y nuestra forma de facilitar la búsqueda, personalización y compra online de productos.|Entdecken Sie 360 Merchandising und unseren Ansatz für Produktsuche, Personalisierung und Onlinebestellung.|Scopri 360 Merchandising e il nostro approccio alla ricerca dei prodotti, alla personalizzazione e agli acquisti online.
883|360 Merchandising es una plataforma de comercio electrónico de productos promocionales, merchandising corporativo y regalos empresariales. Conectamos una necesidad concreta —presupuesto, cantidad, plazo, público u ocasión— con productos que se pueden comparar, personalizar y comprar online.|360 Merchandising ist eine E-Commerce-Plattform für Werbeartikel, Unternehmensmerchandising und Firmengeschenke. Wir verbinden konkrete Anforderungen an Budget, Menge, Termin, Zielgruppe oder Anlass mit Produkten, die online verglichen, personalisiert und bestellt werden können.|360 Merchandising è una piattaforma e-commerce per prodotti promozionali, merchandising aziendale e regali d'impresa. Colleghiamo un'esigenza specifica — budget, quantità, scadenza, pubblico o occasione — a prodotti confrontabili, personalizzabili e acquistabili online.
884|Busca por producto, categoría o necesidad|Nach Produkt, Kategorie oder Bedarf suchen|Cerca per prodotto, categoria o esigenza
885|Catálogo con variantes, stock y personalización|Katalog mit Varianten, Bestand und Personalisierung|Catalogo con varianti, disponibilità e personalizzazione
886|Compra online y solicitudes a medida|Onlinebestellungen und individuelle Anfragen|Ordini online e richieste su misura
887|Orientación para decidir con más información|Beratung für fundierte Entscheidungen|Indicazioni per decisioni più consapevoli
888|De una búsqueda amplia a una necesidad concreta|Von der breiten Suche zum konkreten Bedarf|Da una ricerca ampia a un'esigenza specifica
889|No todas las compras de merchandising empiezan por el nombre de un producto. Muchas parten de una pregunta: ¿qué ofrecer en un congreso, incluir en un kit de bienvenida o elegir con un presupuesto concreto? 360 permite buscar tanto por producto como por necesidad.|Nicht jeder Merchandising-Kauf beginnt mit einem Produktnamen. Oft steht eine Frage am Anfang: Was verschenken wir auf einer Konferenz, packen wir ins Willkommenspaket oder wählen wir für ein bestimmtes Budget? 360 unterstützt die Suche nach Produkt und nach Bedarf.|Non tutti gli acquisti di merchandising iniziano dal nome di un prodotto. Molti partono da una domanda: cosa offrire a un congresso, includere in un kit di benvenuto o scegliere con un budget definito? 360 permette la ricerca sia per prodotto sia per esigenza.
890|Catálogo y contexto en un mismo recorrido|Katalog und Kontext in einem Ablauf|Catalogo e contesto in un unico percorso
891|Las páginas de producto reúnen información comercial, variantes, disponibilidad y personalización. Las aplicaciones, sectores, guías y páginas técnicas aportan contexto antes de configurar un artículo.|Produktseiten bündeln Geschäftsinformationen, Varianten, Verfügbarkeit und Personalisierung. Einsatzbereiche, Branchen, Ratgeber und technische Seiten bieten Kontext vor der Konfiguration.|Le pagine prodotto riuniscono informazioni commerciali, varianti, disponibilità e personalizzazione. Applicazioni, settori, guide e pagine tecniche offrono contesto prima di configurare un articolo.
892|Diseñado para B2B y B2C|Für B2B und B2C entwickelt|Progettato per B2B e B2C
893|Los clientes pueden comprar directamente online o enviar una solicitud a medida si necesitan grandes cantidades, una campaña específica o asistencia adicional.|Kunden können direkt online bestellen oder bei größeren Mengen, speziellen Kampagnen oder zusätzlichem Unterstützungsbedarf eine individuelle Anfrage senden.|I clienti possono acquistare direttamente online o inviare una richiesta su misura per grandi quantità, campagne specifiche o assistenza aggiuntiva.
894|Claridad antes de decidir|Klarheit vor der Entscheidung|Chiarezza prima della decisione
895|Precios, stock, variantes y opciones técnicas pueden cambiar. Mostramos la información disponible en cada momento y distinguimos claramente las orientaciones editoriales de los datos específicos del producto.|Preise, Bestände, Varianten und technische Optionen können sich ändern. Wir zeigen die jeweils verfügbaren Informationen und trennen redaktionelle Beratung klar von produktspezifischen Daten.|Prezzi, disponibilità, varianti e opzioni tecniche possono cambiare. Mostriamo le informazioni disponibili al momento e distinguiamo chiaramente le indicazioni editoriali dai dati specifici del prodotto.
896|Cómo funciona|So funktioniert es|Come funziona
897|/como-funciona|/como-funciona|/como-funciona
898|Sigue el recorrido desde la búsqueda hasta el pedido.|Folgen Sie dem Ablauf von der Suche bis zur Bestellung.|Segui il percorso dalla ricerca all'ordine.
899|Calidad y transparencia|Qualität und Transparenz|Qualità e trasparenza
900|/qualidade|/qualidade|/qualidade
901|Descubre cómo gestionamos la información de productos y personalización.|Erfahren Sie, wie wir Produkt- und Personalisierungsinformationen behandeln.|Scopri come gestiamo le informazioni sui prodotti e sulla personalizzazione.
902|/metodologia-editorial|/metodologia-editorial|/metodologia-editorial
903|Conoce los principios de nuestras guías y contenidos.|Erfahren Sie mehr über die Grundsätze unserer Ratgeber und Inhalte.|Scopri i principi delle nostre guide e dei nostri contenuti.
904|Explorar categorías|Kategorien durchsuchen|Esplora le categorie
905|/categorias|/categorias|/categorias
906|Empieza por el catálogo de productos.|Beginnen Sie mit dem Produktkatalog.|Inizia dal catalogo prodotti.
907|como-funciona|como-funciona|como-funciona
